bandwidth
79378987.2433575988
78829531.9358576387
81729054.9333848357
81453616.0036950558
83079284.4767844975
74657237.9070391953
80736240.1613354683
80133780.8773088157
76833331.5617929548
84422460.4505689591
87084512.8582988828
85307870.7457502782
79679043.2254828960
86975362.9728692621
86582150.2395363450
72604096.0882740021
84356386.4143503159
84877194.3134195358
78194722.9102731496
85248831.5370341390
87862924.0920768231
83510240.2846804857
81057889.3353068531
85927958.5553497672
82364184.1027437747
86842540.3890739977
85230513.0917140841
85907679.1297373325
81309749.9791778773
89133757.9100878388
