bandwidth,iops
155434543,9486.971627
154561943,9433.712394
153963553,9397.189561
152998265,9338.273012
153107346,9344.930843
152023477,9278.776724
155547127,9493.843257
159593017,9740.78478
160739794,9810.778443
155659875,9500.724848
154941100,9456.854257
152023477,9278.776724
153347875,9359.61154
152476828,9306.447032
153435527,9364.961418
153413605,9363.623375
160499525,9796.113602
155479557,9489.719085
152889338,9331.624662
157625047,9620.669407
158042658,9646.158375
157740829,9627.736154
158019400,9644.738779
157625047,9620.669407
157002752,9582.687527
157163615,9592.505855
160092712,9771.283733
157347864,9603.751465
157764005,9629.150749
156271550,9538.058507
