bandwidth,iops
42294947,41303.659353
42953109,41946.395712
43628532,42605.989192
43687111,42663.194727
43250697,42237.009587
42966859,41959.82393
42457169,41462.079873
43278590,42264.248287
42968579,41961.503061
43982379,42951.542211
43254182,42240.412504
43273357,42259.138355
43266382,42252.327034
43248955,42235.308334
43397535,42380.405788
43269869,42255.73242
43364235,42347.885788
43432643,42414.691368
43215882,42203.010545
43792235,42765.855051
43148154,42136.8696
43529485,42509.263388
43221101,42208.106911
43467809,42449.032467
43538310,42517.881761
43096200,42086.132852
42747902,41745.998885
43238506,42225.103693
42759819,41757.636096
43429130,42411.260314
