bandwidth,iops
666330,10411.415983
609200,9518.760971
613297,9582.769629
614763,9605.686961
615096,9610.886966
609463,9522.867188
680787,10637.308403
610595,9540.553512
608555,9508.683356
672303,10504.747331
612446,9569.476632
612389,9568.592471
648130,10127.041212
668811,10450.183656
610491,9538.926187
653232,10206.758263
610979,9546.552286
677881,10591.904119
663548,10367.947714
612425,9569.143688
625582,9774.727961
615590,9618.595521
613495,9585.863134
615400,9615.635164
640666,10010.409451
612693,9573.342661
608012,9500.192244
638316,9973.697884
615522,9617.531347
613829,9591.091039
