bandwidth,iops
38441279,150161.248747
38704557,151189.676303
38812283,151610.482559
38690610,151135.197463
38655788,150999.171977
38316448,149673.625236
38672495,151064.433639
38510215,150430.528656
38629364,150895.956253
38578012,150695.361621
38404156,150016.238063
38580784,150706.190938
38937548,152099.796925
38848794,151753.1025
38999775,152342.873747
38872703,151846.499167
38286390,149556.213229
38746457,151353.34873
39082107,152664.482784
38336968,149753.784633
38855823,151780.560179
38988446,152298.620189
38542008,150554.721993
38991278,152309.681168
38500549,150392.771344
38853011,151769.575915
38080002,148750.008866
38678067,151086.200065
38817896,151632.406638
38533709,150522.303966
