bandwidth,iops
26525897,414467.155809
26667539,416680.309954
26646362,416349.414334
26600813,415637.705933
26752586,418009.168826
26949998,421093.720195
26556732,414948.951326
26495134,413986.477817
26632483,416132.549545
26365020,411953.444974
26659594,416556.162479
26565931,415092.681479
26684771,416949.550176
26713982,417405.980992
26835494,419304.608617
26476841,413700.646052
26206082,409470.041247
26818738,419042.785423
26577767,415277.623762
26289494,410773.351615
26455313,413364.279203
26452055,413313.362239
26427965,412936.966206
26409765,412652.581351
26384456,412257.126007
26227846,409810.107721
26853615,419587.745405
26977082,421516.908698
26859661,419682.209326
24872983,388640.36693
