bandwidth,iops
131844526,8047.151277
131844526,8047.151277
133949828,8175.648703
131941733,8053.084296
132757396,8102.868447
133020543,8118.929633
131666685,8036.29675
134133894,8186.883198
132331997,8076.904116
130482661,7964.029651
131763630,8042.213769
132201652,8068.948535
132185377,8067.955189
132104062,8062.992126
132888839,8110.891089
134167415,8188.929152
132658984,8096.861873
132954658,8114.90837
131860717,8048.139506
130960095,7993.169899
130403427,7959.193588
131957948,8054.073983
133883020,8171.571072
129569424,7908.290093
130912195,7990.246281
132169106,8066.962088
131893111,8050.116693
131860717,8048.139506
132938197,8113.903677
133866328,8170.5523
