bandwidth,iops
100265367,24478.849566
100115787,24442.331002
99873669,24383.220166
100754604,24598.292202
101660843,24819.541753
99845808,24376.418077
97382715,23775.077091
103115511,25174.685489
98121340,23955.405282
100801898,24609.838528
99836524,24374.151557
100830296,24616.771528
100697910,24584.450905
99301010,24243.410709
99994582,24412.739803
99282646,24238.927416
98112374,23953.216374
101210465,24709.5862
92731826,22639.606184
96934352,23665.613433
100953537,24646.859722
100603562,24561.416659
102622749,25054.382108
98762125,24111.846946
101998843,24902.061366
103513142,25271.763231
100906101,24635.278639
104867841,25602.500244
101950420,24890.239271
103125415,25177.103342
