bandwidth,iops
211366500,3225.19685
184301720,2812.221078
199877480,3049.88831
186219532,2841.484565
179585519,2740.257568
184555143,2816.088003
200699406,3062.429907
181959299,2776.478563
184777460,2819.480296
213892793,3263.74502
184936586,2821.908371
198841078,3034.074074
185832783,2835.583247
184523427,2815.604056
207646842,3168.439373
188541145,2876.90957
196153055,2993.058093
211491397,3227.10262
202860726,3095.409031
208493558,3181.359223
194694800,2970.80689
213255575,3254.021847
201641657,3076.807512
213086291,3251.438778
187782760,2865.337531
188111742,2870.357393
186025957,2838.530839
185191759,2825.802001
184017450,2807.883462
212706383,3245.641838
