bandwidth,iops
466844271,455902.608696
441324218,430980.682285
511305630,499321.904762
504104142,492289.201878
469292755,458293.706294
507439425,495546.3138
509848919,497899.335233
433135064,422983.461073
515478552,503397.023524
446276734,435817.123857
447578917,437088.786995
450017528,439470.243085
501046114,489302.846477
513260910,501231.357553
512037112,500036.242251
510819136,498846.812559
504815149,492983.544899
508882381,496955.450237
514984088,502914.148681
510091127,498135.866983
503159242,491366.447985
509848919,497899.335233
506243198,494378.123527
502923570,491136.299766
503631249,491827.39212
504577924,492751.879699
506960256,495078.375826
509848919,497899.335233
506243198,494378.123527
495040029,483437.528815
