bandwidth,iops
2423982,9468.681569
2476199,9672.652638
2481635,9693.890333
2482605,9697.678182
2459286,9606.588992
2483495,9701.154849
2470473,9650.286451
2664980,10410.078728
2473934,9663.805061
2433309,9505.117072
2541665,9928.380707
2449284,9567.517507
2422773,9463.959909
2495019,9746.171756
2466812,9635.986445
2423435,9466.544488
2474162,9664.695771
2457879,9601.091433
2460086,9609.71441
2431987,9499.950171
2454222,9586.80527
2540114,9922.321002
2461231,9614.185971
2477518,9677.808184
2468746,9643.541319
2452725,9580.958255
2466546,9634.946086
2450296,9571.469322
2447637,9561.083693
2440078,9531.555935
