bandwidth,iops
155727603,608310.949964
158720151,620000.591279
157996148,617172.454385
159664211,623688.327138
157278720,614370.001465
159214386,621931.198102
158790568,620275.658089
157903209,616809.411765
155953787,609194.480755
156294297,610524.599709
158275622,618264.150943
157509435,615271.233681
156044444,609548.61212
155547127,607605.96842
157601911,615632.467342
153545234,599786.071786
158205661,617990.864889
156476511,611236.374235
155457047,607254.090054
159498191,623039.809863
156727751,612217.778427
159190781,621838.991846
159474502,622947.274618
159096432,621470.440065
154784751,604627.937149
157903209,616809.411765
156180628,610080.581818
156135207,609903.155446
157255685,614280.023433
157417068,614910.423692
