bandwidth,iops
87502389,166.897563
87367113,166.639544
87580899,167.047308
87523787,166.938376
87609483,167.101828
87473875,166.843177
87452502,166.802411
87352898,166.612431
87374222,166.653104
87409787,166.720938
87324481,166.55823
87367113,166.639544
87374222,166.653104
87466750,166.829586
87502389,166.897563
89620384,170.937317
89642830,170.98013
89568053,170.837504
87566614,167.020062
87609483,167.101828
87595188,167.074564
87623781,167.129101
89995962,171.653675
89560582,170.823255
89471029,170.652446
88959554,169.676885
89337035,170.396872
89627865,170.951586
88432039,168.67073
89680265,171.051533
