bandwidth,iops
199394953,3042.525534
204600195,3121.95122
194483213,2967.578337
196944575,3005.13573
194942233,2974.582426
204133426,3114.828897
194624220,2969.729926
203283192,3101.855358
194166695,2962.748644
193676375,2955.266955
193956254,2959.537572
193816213,2957.400722
202822407,3094.824329
194836113,2972.963165
204094625,3114.236837
194483213,2967.578337
194061417,2961.142237
202975770,3097.164461
195581388,2984.335155
194871474,2973.502722
194131589,2962.212981
217400652,3317.270703
196692035,3001.282286
204756259,3124.332571
194730109,2971.345666
194871474,2973.502722
194026350,2960.607156
204172242,3115.421183
192495845,2937.253496
188342716,2873.881775
