bandwidth,iops
1783624292,3401.993355
2550455638,4864.608076
2556528152,4876.190476
2574920441,4911.270983
1740262275,3319.286872
2587329696,4934.939759
2562629651,4887.828162
1792557302,3419.03172
1729052856,3297.906602
2556528152,4876.190476
1768932164,3373.970346
2562629651,4887.828162
2574920441,4911.270983
2538396747,4841.607565
2538396747,4841.607565
2526451350,4818.823529
2538396747,4841.607565
2550455638,4864.608076
2556528152,4876.190476
2556528152,4876.190476
2532409962,4830.188679
2550455638,4864.608076
2556528152,4876.190476
2556528152,4876.190476
2550455638,4864.608076
2568760344,4899.521531
2550455638,4864.608076
2574920441,4911.270983
1795554889,3424.749164
2574920441,4911.270983
