bandwidth,iops
43953572,686774.571206
45158843,705606.931068
45778802,715293.796632
45048954,703889.909797
46410002,725156.293223
44002205,687534.464388
45728113,714501.767386
45403265,709426.022242
45712538,714258.418834
45426315,709786.18268
45113307,704895.424562
45288364,707630.688768
46168543,721383.497442
45330426,708287.921645
47238971,738108.930928
44739242,699050.666667
44750430,699225.473035
45815916,715873.698583
45759293,714988.962284
45470560,710477.51334
44583201,696612.522837
46414015,725218.985044
45219702,706557.843757
45994509,718664.210752
44996095,703063.990278
44744835,699138.058924
38380820,599700.314555
45491752,710808.626022
47007347,734489.799492
41478032,648094.255804
