bandwidth
215957728
216480206
224256855
215957728
215957728
232411650
217180789
217005219
216305766
215957728
235057316
217005219
215957728
216305766
216654928
216480206
235676431
216305766
213722496
218062921
216480206
215957728
215784128
217005219
215610808
234851667
217005219
216480206
216654928
215957728
