bandwidth,iops
2105376125,128501.960784
2093063984,127750.487329
2109512424,128754.420432
2105376125,128501.960784
2117833972,129262.327416
2080895007,127007.751938
2109512424,128754.420432
2080895007,127007.751938
2093063984,127750.487329
2113665007,129007.874016
2084935580,127254.368932
2130440126,130031.746032
2093063984,127750.487329
2088991875,127501.945525
2113665007,129007.874016
2101256015,128250.489237
2113665007,129007.874016
2010752479,122726.59176
2097152000,128000
2105376125,128501.960784
2093063984,127750.487329
2122019415,129517.786561
2101256015,128250.489237
2101256015,128250.489237
2117833972,129262.327416
2076870065,126762.088975
2109512424,128754.420432
2068866712,126273.603083
2097152000,128000
2109512424,128754.420432
