bandwidth
87381333
95325090
58254222
61680941
61680941
149796571
49932190
80659692
131072000
131072000
131072000
149796571
131072000
149796571
149796571
149796571
149796571
49932190
149796571
74898285
52428800
149796571
43690666
52428800
149796571
131072000
41943040
131072000
149796571
49932190
