bandwidth,iops
1425951957,348132.802125
1409110005,344020.997375
1414679610,345380.764163
1389057987,339125.485123
1412818189,344926.315789
1431655765,349525.333333
1357448576,331408.343869
1424060774,347671.087533
1399924151,341778.357236
1427848170,348595.744681
1412818189,344926.315789
1418417204,346293.26288
1412818189,344926.315789
1427848170,348595.744681
1420293417,346751.322751
1064164344,259805.748266
1373071386,335222.506394
1414679610,345380.764163
1409110005,344020.997375
1420293417,346751.322751
1403584083,342671.895425
1345541132,328501.253133
1220161163,297890.909091
1420293417,346751.322751
1422174601,347210.596026
1410961660,344473.061761
1157049379,282482.758621
1427848170,348595.744681
1425951957,348132.802125
1179936070,288070.32967
