bandwidth,iops
45929584,11213.27744
45695030,11156.013278
45917799,11210.400274
46055667,11244.059363
45194958,11033.925415
45155045,11024.181
46166558,11271.132514
45487897,11105.443762
45572845,11126.183099
45430159,11091.347578
45588325,11129.962213
45451313,11096.512022
46016191,11234.421874
45751494,11169.798458
44553602,10877.344398
45665879,11148.896355
45627069,11139.421238
45013072,10989.519577
45090573,11008.440768
45588325,11129.962213
45136063,11019.546849
45507176,11110.150456
45667821,11149.370534
45426315,11090.409104
44855118,10950.956638
45741749,11167.419272
45118994,11015.379444
45315122,11063.262292
45661995,11147.948118
46107086,11256.612848
