bandwidth
68417345
68334616
70561991
69529354
69705389
65380370
66243557
70284861
70575905
70165446
69987082
69927829
69126493
69714441
69130944
69714441
68391198
68552756
68391198
69466379
67954042
70179204
67526685
70220510
70215918
68382487
65983028
68644791
68295498
65656220
