bandwidth,iops
14953580,14603.105633
15010020,14658.223247
14840322,14492.502039
14862301,14513.966171
14877127,14528.445146
14905007,14555.671234
14648192,14304.87572
14746567,14400.944886
14953163,14602.698901
14670007,14326.178733
14971720,14620.820436
14774366,14428.091805
14830688,14483.093923
14573438,14231.873829
14828025,14480.493834
14796965,14450.161924
14525531,14185.089487
14747377,14401.736049
14449492,14110.832997
14924688,14574.891582
14700133,14355.598757
18235175,17807.788326
14791258,14444.588321
14880014,14531.263858
15046830,14694.170404
14900043,14550.823585
14627240,14284.414293
14450659,14111.972438
14859833,14511.555814
15114183,14759.944821
