bandwidth,iops
525403,8209.43302
527438,8241.221986
554966,8671.354868
527840,8247.501497
530817,8294.022962
529913,8279.893005
529302,8270.350262
582607,9103.249499
560987,8765.434008
526665,8229.155763
529071,8266.74787
570271,8910.48627
531207,8300.112204
528963,8265.04964
590881,9232.520374
530774,8293.358774
576146,9002.29441
529102,8267.220403
529607,8275.122964
529211,8268.935826
580302,9067.231328
544338,8505.292102
528186,8252.909535
529103,8267.244846
523131,8173.927956
525141,8205.333667
532142,8314.73161
533876,8341.818739
528696,8260.8783
528828,8262.941061
