bandwidth,iops
69868676,4264.445601
68096259,4156.265855
66263998,4044.433473
68675524,4191.621362
66337688,4048.931175
65861609,4019.873643
68474065,4179.325298
68421705,4176.129484
66284451,4045.681832
65999251,4028.274633
69768799,4258.349578
69502351,4242.086866
66741784,4073.595226
66214962,4041.440553
66829017,4078.919524
65528000,3999.511778
65688353,4009.298911
65652205,4007.092632
65560008,4001.46538
65966813,4026.294772
66064223,4032.240202
66108965,4034.971063
66415650,4053.689615
65692372,4009.544203
65332633,3987.587466
65257191,3982.982861
66366390,4050.682984
65995195,4028.027044
66309011,4047.180881
66284451,4045.681832
