bandwidth,iops
82901623,1264.978382
82197184,1254.229503
82914426,1265.173745
82844057,1264.099992
83106952,1268.111455
83403901,1272.642535
82436992,1257.888676
83814052,1278.900945
83540171,1274.721855
83171326,1269.093726
82882425,1264.68545
82959269,1265.857993
83094089,1267.915183
83010577,1266.640897
82551074,1259.62943
83390946,1272.444859
82812110,1263.612525
81871278,1249.256576
82972090,1266.053628
83683409,1276.90749
82767426,1262.930702
83190658,1269.388704
83061949,1267.42477
82869632,1264.490237
82850449,1264.197531
82812110,1263.612525
83042677,1267.130704
83126254,1268.405977
82863236,1264.392653
82291678,1255.671367
