bandwidth,iops
38149002,9313.72131
38517122,9403.594361
38507453,9401.233682
39859745,9731.383176
39273658,9588.295538
38189707,9323.659126
39999322,9765.459693
39481608,9639.064568
39423624,9624.90821
38898051,9496.594696
39004025,9522.467216
39565989,9659.665414
39394695,9617.845612
39904185,9742.232793
39230611,9577.785897
39344172,9605.510974
39237779,9579.535904
38210093,9328.635992
39119127,9550.568347
38728289,9455.148783
39656589,9681.784606
39224878,9576.386352
39047997,9533.202415
39887879,9738.251792
38180202,9321.338406
38139517,9311.405534
38561387,9414.401149
39375914,9613.260479
39413494,9622.435121
39266477,9586.542329
