bandwidth,iops
2418337441,36900.900901
2418337441,36900.900901
2396745142,36571.428571
2396745142,36571.428571
2423796442,36984.198646
2457075112,37491.990847
2440322327,37236.363636
2451465351,37406.392694
2440322327,37236.363636
2445881148,37321.18451
2445881148,37321.18451
2457075112,37491.990847
2451465351,37406.392694
2375535008,36247.787611
2445881148,37321.18451
2440322327,37236.363636
2440322327,37236.363636
1619520096,24711.915535
1641807070,25051.987768
2418337441,36900.900901
2423796442,36984.198646
1590728628,24272.592593
2445881148,37321.18451
2440322327,37236.363636
2451465351,37406.392694
2451465351,37406.392694
2407492878,36735.426009
2412902975,36817.977528
2434788716,37151.927438
2434788716,37151.927438
