normalized-overhead-nanaoseconds,
348,
227,
242,
279,
177,
234,
193,
216,
263,
202,
406,
306,
296,
224,
346,
309,
193,
388,
590,
427,
303,
226,
186,
382,
208,
291,
368,
374,
808,
140,
253,
