normalized-overhead-nanaoseconds,
1707,
619,
1503,
816,
1046,
784,
694,
866,
989,
1582,
814,
1512,
897,
875,
1594,
1655,
718,
714,
695,
1491,
1715,
709,
830,
1509,
1697,
810,
860,
1330,
795,
1737,
1714,
