bandwidth
84019246061.1636810303
81919376225.4528503418
65535500980.3622817993
75328666031.6879577637
75328666031.6879577637
73636357543.6640930176
68986851312.3142089844
70467839577.0692596436
68267388621.6537246704
71234690888.7807464600
74471667615.3470306396
77100589388.6615142822
66874548992.7906875610
79921909979.9555664062
76205618250.5414123535
70467839577.0692596436
78019534809.9663238525
78960649894.2859954834
72016112756.9799194336
74474130628.5635681152
74471667615.3470306396
72817223311.5136413574
80909770173.0174255371
79921909979.9555664062
73636357543.6640930176
76203039380.2114410400
67562777571.6417541504
76205618250.5414123535
72817223311.5136413574
70470044867.1605377197
