real,user,sys
0m0.497s,0m0.464s,0m0.000s
0m0.522s,0m0.490s,0m0.000s
0m0.501s,0m0.469s,0m0.000s
0m0.493s,0m0.461s,0m0.000s
0m0.487s,0m0.455s,0m0.000s
0m0.477s,0m0.435s,0m0.010s
0m0.497s,0m0.456s,0m0.010s
0m0.509s,0m0.475s,0m0.000s
0m0.548s,0m0.516s,0m0.000s
0m0.494s,0m0.440s,0m0.020s
0m0.492s,0m0.456s,0m0.000s
0m0.559s,0m0.516s,0m0.010s
0m0.512s,0m0.480s,0m0.000s
0m0.481s,0m0.449s,0m0.000s
0m0.524s,0m0.453s,0m0.038s
0m0.554s,0m0.509s,0m0.010s
0m0.482s,0m0.450s,0m0.000s
0m0.497s,0m0.465s,0m0.000s
0m0.490s,0m0.449s,0m0.009s
0m0.485s,0m0.434s,0m0.020s
0m0.484s,0m0.452s,0m0.000s
0m0.489s,0m0.445s,0m0.010s
0m0.495s,0m0.458s,0m0.000s
0m0.503s,0m0.470s,0m0.001s
0m0.511s,0m0.468s,0m0.010s
0m0.507s,0m0.466s,0m0.009s
0m0.504s,0m0.459s,0m0.010s
0m0.485s,0m0.453s,0m0.000s
0m0.509s,0m0.466s,0m0.010s
0m0.478s,0m0.445s,0m0.000s
