real,user,sys
1m51.156s,1m47.590s,0m0.210s
1m55.245s,1m51.653s,0m0.230s
1m55.865s,1m53.084s,0m0.150s
1m59.318s,1m55.875s,0m0.210s
1m47.175s,1m43.798s,0m0.160s
1m59.452s,1m56.049s,0m0.160s
1m54.199s,1m51.237s,0m0.160s
1m48.649s,1m45.025s,0m0.200s
1m46.880s,1m44.225s,0m0.110s
1m51.579s,1m47.948s,0m0.151s
1m49.166s,1m45.967s,0m0.150s
1m49.741s,1m46.588s,0m0.140s
2m1.140s,1m57.399s,0m0.250s
2m4.607s,2m0.836s,0m0.210s
1m56.376s,1m53.254s,0m0.160s
1m48.481s,1m45.328s,0m0.180s
1m50.100s,1m47.072s,0m0.160s
1m56.502s,1m53.054s,0m0.170s
1m53.978s,1m50.580s,0m0.150s
1m53.146s,1m49.531s,0m0.200s
1m58.918s,1m55.352s,0m0.190s
1m50.310s,1m47.446s,0m0.070s
1m51.452s,1m48.300s,0m0.151s
1m47.100s,1m43.532s,0m0.152s
1m46.931s,1m44.327s,0m0.120s
1m46.230s,1m43.203s,0m0.120s
1m56.337s,1m53.181s,0m0.140s
1m49.275s,1m46.347s,0m0.150s
1m54.446s,1m51.087s,0m0.190s
1m53.206s,1m49.834s,0m0.171s
