real,user,sys
0m1.781s,0m1.693s,0m0.009s
0m1.741s,0m1.654s,0m0.020s
0m1.844s,0m1.768s,0m0.010s
0m1.851s,0m1.774s,0m0.010s
0m1.743s,0m1.668s,0m0.010s
0m1.733s,0m1.657s,0m0.010s
0m1.855s,0m1.789s,0m0.000s
0m1.716s,0m1.641s,0m0.010s
0m1.796s,0m1.714s,0m0.010s
0m1.817s,0m1.715s,0m0.030s
0m1.738s,0m1.666s,0m0.000s
0m1.914s,0m1.838s,0m0.010s
0m1.737s,0m1.661s,0m0.010s
0m1.727s,0m1.652s,0m0.010s
0m1.847s,0m1.762s,0m0.010s
0m1.747s,0m1.673s,0m0.010s
0m1.756s,0m1.681s,0m0.010s
0m1.739s,0m1.674s,0m0.000s
0m1.795s,0m1.709s,0m0.010s
0m1.908s,0m1.822s,0m0.010s
0m1.933s,0m1.863s,0m0.000s
0m1.754s,0m1.675s,0m0.010s
0m1.740s,0m1.668s,0m0.000s
0m2.016s,0m1.922s,0m0.020s
0m2.133s,0m2.068s,0m0.000s
0m1.740s,0m1.657s,0m0.000s
0m1.881s,0m1.804s,0m0.000s
0m1.938s,0m1.847s,0m0.010s
0m1.904s,0m1.819s,0m0.000s
0m2.040s,0m1.950s,0m0.010s
