real,user,sys
0m9.367s,0m0.092s,0m0.111s
0m9.591s,0m0.058s,0m0.247s
0m9.373s,0m0.042s,0m0.155s
0m9.603s,0m0.152s,0m0.151s
0m9.598s,0m0.086s,0m0.216s
0m9.586s,0m0.078s,0m0.223s
0m9.600s,0m0.088s,0m0.224s
0m9.769s,0m0.077s,0m0.238s
0m9.598s,0m0.073s,0m0.241s
0m9.603s,0m0.173s,0m0.138s
0m9.594s,0m0.078s,0m0.232s
0m9.357s,0m0.070s,0m0.069s
0m9.599s,0m0.078s,0m0.232s
0m9.602s,0m0.105s,0m0.210s
0m9.590s,0m0.111s,0m0.191s
0m9.596s,0m0.084s,0m0.224s
0m9.613s,0m0.150s,0m0.158s
0m9.592s,0m0.127s,0m0.181s
0m9.605s,0m0.095s,0m0.221s
0m9.598s,0m0.136s,0m0.177s
0m9.597s,0m0.080s,0m0.230s
0m9.595s,0m0.101s,0m0.202s
0m9.614s,0m0.101s,0m0.200s
0m9.621s,0m0.084s,0m0.228s
0m9.623s,0m0.108s,0m0.197s
0m9.616s,0m0.081s,0m0.229s
0m9.600s,0m0.144s,0m0.167s
0m9.587s,0m0.076s,0m0.226s
0m9.600s,0m0.081s,0m0.220s
0m9.610s,0m0.110s,0m0.199s
