real,user,sys
0m6.942s,0m6.709s,0m0.010s
0m7.960s,0m7.707s,0m0.031s
0m7.019s,0m6.802s,0m0.010s
0m7.099s,0m6.871s,0m0.030s
0m7.485s,0m7.270s,0m0.010s
0m7.313s,0m7.071s,0m0.010s
0m6.829s,0m6.565s,0m0.030s
0m7.125s,0m6.867s,0m0.010s
0m6.944s,0m6.689s,0m0.020s
0m6.728s,0m6.487s,0m0.020s
0m6.839s,0m6.581s,0m0.020s
0m6.689s,0m6.472s,0m0.010s
0m8.200s,0m7.969s,0m0.010s
0m7.060s,0m6.806s,0m0.021s
0m7.429s,0m7.173s,0m0.020s
0m7.996s,0m7.742s,0m0.020s
0m7.030s,0m6.798s,0m0.000s
0m6.906s,0m6.662s,0m0.010s
0m7.320s,0m7.086s,0m0.000s
0m7.123s,0m6.855s,0m0.021s
0m6.891s,0m6.687s,0m0.010s
0m7.341s,0m7.146s,0m0.000s
0m8.055s,0m7.808s,0m0.010s
0m7.302s,0m7.049s,0m0.020s
0m7.140s,0m6.878s,0m0.030s
0m7.551s,0m7.319s,0m0.010s
0m7.155s,0m6.912s,0m0.010s
0m7.069s,0m6.836s,0m0.000s
0m7.042s,0m6.768s,0m0.040s
0m7.320s,0m7.055s,0m0.031s
