real,user,sys
0m2.408s,0m0.023s,0m0.074s
0m2.383s,0m0.040s,0m0.039s
0m2.391s,0m0.033s,0m0.043s
0m2.425s,0m0.056s,0m0.046s
0m2.437s,0m0.073s,0m0.031s
0m2.374s,0m0.039s,0m0.039s
0m2.375s,0m0.034s,0m0.044s
0m2.413s,0m0.034s,0m0.067s
0m2.408s,0m0.042s,0m0.053s
0m2.395s,0m0.037s,0m0.037s
0m2.410s,0m0.049s,0m0.049s
0m2.370s,0m0.051s,0m0.025s
0m2.469s,0m0.053s,0m0.053s
0m2.387s,0m0.044s,0m0.033s
0m2.419s,0m0.041s,0m0.051s
0m2.373s,0m0.043s,0m0.034s
0m2.408s,0m0.048s,0m0.048s
0m2.383s,0m0.033s,0m0.043s
0m2.372s,0m0.042s,0m0.036s
0m2.413s,0m0.014s,0m0.083s
0m2.412s,0m0.036s,0m0.060s
0m2.377s,0m0.033s,0m0.044s
0m2.372s,0m0.032s,0m0.042s
0m2.519s,0m0.035s,0m0.058s
0m2.424s,0m0.010s,0m0.087s
0m2.371s,0m0.058s,0m0.019s
0m2.369s,0m0.025s,0m0.050s
0m2.383s,0m0.031s,0m0.046s
0m2.425s,0m0.041s,0m0.055s
0m2.391s,0m0.037s,0m0.037s
