real,user,sys
0m0.202s,0m0.035s,0m0.000s
0m0.203s,0m0.027s,0m0.009s
0m0.205s,0m0.028s,0m0.009s
0m0.211s,0m0.014s,0m0.027s
0m0.212s,0m0.042s,0m0.000s
0m0.223s,0m0.036s,0m0.000s
0m0.207s,0m0.040s,0m0.000s
0m0.207s,0m0.029s,0m0.010s
0m0.194s,0m0.028s,0m0.000s
0m0.193s,0m0.018s,0m0.009s
0m0.195s,0m0.029s,0m0.000s
0m0.201s,0m0.023s,0m0.011s
0m0.204s,0m0.035s,0m0.000s
0m0.208s,0m0.038s,0m0.000s
0m0.210s,0m0.041s,0m0.000s
0m0.200s,0m0.016s,0m0.017s
0m0.204s,0m0.027s,0m0.009s
0m0.201s,0m0.036s,0m0.000s
0m0.200s,0m0.023s,0m0.011s
0m0.202s,0m0.024s,0m0.012s
0m0.209s,0m0.020s,0m0.019s
0m0.206s,0m0.026s,0m0.013s
0m0.204s,0m0.027s,0m0.009s
0m0.203s,0m0.027s,0m0.009s
0m0.198s,0m0.021s,0m0.010s
0m0.205s,0m0.038s,0m0.000s
0m0.200s,0m0.022s,0m0.011s
0m0.195s,0m0.028s,0m0.000s
0m0.199s,0m0.032s,0m0.000s
0m0.205s,0m0.028s,0m0.009s
