real,user,sys
0m0.086s,0m0.018s,0m0.017s
0m0.083s,0m0.035s,0m0.000s
0m0.084s,0m0.024s,0m0.011s
0m0.082s,0m0.025s,0m0.008s
0m0.075s,0m0.027s,0m0.000s
0m0.079s,0m0.021s,0m0.010s
0m0.082s,0m0.034s,0m0.000s
0m0.085s,0m0.035s,0m0.001s
0m0.075s,0m0.026s,0m0.001s
0m0.084s,0m0.024s,0m0.012s
0m0.087s,0m0.036s,0m0.000s
0m0.076s,0m0.018s,0m0.009s
0m0.083s,0m0.026s,0m0.009s
0m0.085s,0m0.012s,0m0.024s
0m0.076s,0m0.018s,0m0.009s
0m0.077s,0m0.027s,0m0.000s
0m0.081s,0m0.022s,0m0.011s
0m0.086s,0m0.015s,0m0.022s
0m0.078s,0m0.027s,0m0.000s
0m0.078s,0m0.028s,0m0.000s
0m0.075s,0m0.026s,0m0.000s
0m0.085s,0m0.027s,0m0.009s
0m0.085s,0m0.037s,0m0.000s
0m0.086s,0m0.038s,0m0.000s
0m0.082s,0m0.025s,0m0.008s
0m0.084s,0m0.036s,0m0.000s
0m0.083s,0m0.035s,0m0.000s
0m0.075s,0m0.018s,0m0.009s
0m0.075s,0m0.027s,0m0.001s
0m0.085s,0m0.027s,0m0.009s
