real,user,sys
0m28.427s,0m27.522s,0m0.031s
0m29.569s,0m28.664s,0m0.040s
0m29.168s,0m28.228s,0m0.080s
0m29.569s,0m28.727s,0m0.020s
0m29.237s,0m28.346s,0m0.030s
0m29.744s,0m28.836s,0m0.040s
0m27.448s,0m26.610s,0m0.030s
0m28.653s,0m27.796s,0m0.040s
0m30.950s,0m30.054s,0m0.030s
0m27.253s,0m26.500s,0m0.040s
0m29.708s,0m28.922s,0m0.070s
0m27.580s,0m26.743s,0m0.043s
0m30.898s,0m30.144s,0m0.040s
0m27.913s,0m27.021s,0m0.070s
0m29.023s,0m28.255s,0m0.050s
0m31.226s,0m30.330s,0m0.030s
0m26.825s,0m25.936s,0m0.020s
0m27.973s,0m27.101s,0m0.050s
0m27.776s,0m26.960s,0m0.030s
0m27.211s,0m26.358s,0m0.041s
0m27.461s,0m26.649s,0m0.040s
0m26.734s,0m25.864s,0m0.050s
0m28.430s,0m27.625s,0m0.030s
0m31.717s,0m30.804s,0m0.040s
0m28.721s,0m27.850s,0m0.050s
0m30.327s,0m29.466s,0m0.040s
0m27.218s,0m26.370s,0m0.030s
0m27.330s,0m26.506s,0m0.050s
0m27.057s,0m26.310s,0m0.030s
0m29.269s,0m28.495s,0m0.050s
