real,user,sys
0m0.656s,0m0.033s,0m0.022s
0m0.645s,0m0.023s,0m0.022s
0m0.644s,0m0.033s,0m0.011s
0m0.642s,0m0.044s,0m0.000s
0m0.646s,0m0.045s,0m0.000s
0m0.657s,0m0.027s,0m0.027s
0m0.654s,0m0.041s,0m0.013s
0m0.642s,0m0.033s,0m0.011s
0m0.653s,0m0.035s,0m0.017s
0m0.652s,0m0.023s,0m0.030s
0m0.643s,0m0.030s,0m0.014s
0m0.643s,0m0.029s,0m0.015s
0m0.655s,0m0.041s,0m0.010s
0m0.643s,0m0.029s,0m0.015s
0m0.654s,0m0.037s,0m0.018s
0m0.653s,0m0.030s,0m0.022s
0m0.643s,0m0.027s,0m0.018s
0m0.649s,0m0.026s,0m0.025s
0m0.659s,0m0.021s,0m0.032s
0m0.643s,0m0.030s,0m0.015s
0m0.658s,0m0.027s,0m0.026s
0m0.644s,0m0.045s,0m0.000s
0m0.650s,0m0.035s,0m0.017s
0m0.658s,0m0.041s,0m0.010s
0m0.644s,0m0.044s,0m0.000s
0m0.646s,0m0.033s,0m0.011s
0m0.654s,0m0.042s,0m0.010s
0m0.644s,0m0.046s,0m0.000s
0m0.643s,0m0.030s,0m0.015s
0m0.633s,0m0.043s,0m0.000s
